DATE	LORSGPORATQ661S	LORSGPORAUQ661S	LORSGPORBEQ661S	LORSGPORBRQ661S	LORSGPORCAQ661S	LORSGPORCHQ661S	LORSGPORCLQ661S	LORSGPORCZQ661S	LORSGPORDEQ661S	LORSGPORDEQ661S_LOG	LORSGPORDKQ661S	LORSGPOREEQ661S	LORSGPORESQ661S	LORSGPORFIQ661S	LORSGPORFRQ661S	LORSGPORGBQ661S	LORSGPORGRQ661S	LORSGPORHUQ661S	LORSGPORIDQ661S	LORSGPORIEQ661S	LORSGPORILQ661S	LORSGPORINQ661S	LORSGPORITQ661S	LORSGPORJPQ661S	LORSGPORKRQ661S	LORSGPORLUQ661S	LORSGPORMXQ661S	LORSGPORNLQ661S	LORSGPORNOQ661S	LORSGPORNZQ661S	LORSGPORPLQ661S	LORSGPORPTQ661S	LORSGPORRUQ661S	LORSGPORSEQ661S	LORSGPORSIQ661S	LORSGPORSKQ661S	LORSGPORTRQ661S	LORSGPORUSQ661S	LORSGPORZAQ661S
1998-07-01	76.1243693116713	60.5217006160550	73.7833602511153	63.2496779326163	67.6777971595221	71.8262920113171	53.7758058270029	63.6357071789592	80.6674947271230	4.39034	81.8550028642254	55.3061410667432	74.2081867871825	76.4198027296166	78.3824019226275	73.3724026887783	100.7835540983170	68.4690026934140	42.4426935661552	46.41369755656040	53.4737085485129	31.6514373787416	95.3545254429095	87.3744357962264	44.84328419602080	59.0200171554827	69.6564201307780	77.2177829822263	74.1382836383282	60.8977710816679	53.9246199014831	90.5800667311724	46.9830499224841	67.4234074287406	68.7935711337460	52.5044700625432	45.91620426805200	69.5743851732477	59.8671872345039
1998-10-01	76.4143108931051	61.4531650553197	73.9484666463484	62.5000687902971	68.5986688964066	71.6047063949722	51.8891960542995	63.6934754305486	80.3175023286206	4.38599	82.1175585819546	54.2992108670841	75.0233391178463	77.0972396338434	78.9806467521618	73.9080906495839	101.5777212121600	68.5197127471025	41.2573494062979	44.90430372459730	53.9532825302926	32.0662957858997	94.8857196863682	88.0768017769805	45.96259491137740	59.3837612618178	69.7690665948210	77.9244124705801	74.5174073517161	62.1704258430452	54.0388604373298	91.2623249896182	47.4499172130323	68.1662513049887	69.3203847550452	56.4192789841244	45.79742448468040	70.6988399176259	59.9248299759270
1999-01-01	77.0233749267054	61.9287398386714	74.7212029728750	62.7064284793606	69.8429226482461	71.7575243790682	51.7237936411327	63.7503788879525	81.2475183853984	4.39750	82.8615734904289	53.8876474240708	75.7724180810884	78.3688530406604	79.3795993176586	74.3513063855613	102.3520799991590	68.5455481127503	43.5874329717941	47.73211400835360	53.4611758310403	32.5871015814593	95.4641091811660	86.8636022102980	47.35739077758030	61.0138904295775	70.4913993672088	79.2232206003409	75.0563727300468	62.7358532370275	54.3572193178436	92.4753805188712	49.3935716037702	68.9650563740036	70.4540293652144	54.5530463334696	45.02536224318370	71.3661143849757	60.5007489066692
1999-04-01	77.9317171727458	62.1293939217695	75.7435187340563	62.8574541053274	70.4271899143652	72.2403427769763	51.8655149934048	63.9712473229215	81.2475249943906	4.39750	83.2894566466084	54.3604632405138	76.6710901177628	78.7851550488445	80.0372821908532	74.5747330654255	103.3072348193770	69.2875114512914	43.5634674081332	48.49764387902090	55.7303737864938	33.4285760146924	95.8056189877326	87.1960240952436	49.43314328339990	62.3312668959359	70.9271474552842	80.1048973345236	75.0905068116620	63.1612531572650	55.6189731676875	92.9581992061662	51.1441316586097	69.3800659591902	73.4631668962100	53.6303897960329	44.77154722256880	71.9620214613665	60.9822684512605
1999-07-01	78.9887677337278	62.8606516671961	76.8435880883415	62.9577048113808	71.5291473155897	72.6457005781087	53.1638512276605	64.6031524342443	82.1874941933808	4.40900	83.8042299377329	54.9211310973295	77.6904017297859	79.2052416207394	81.0127653779836	75.7655762091749	103.7026925955810	70.5532156352682	43.6825773187657	50.38998727659760	55.9312542756567	33.8448717873974	96.6556843302081	87.6584077536238	50.80796352083480	64.1238268125914	71.5059456108668	81.2081251231870	76.6334850043977	64.0953604821199	56.8496351143072	93.8695603431646	52.1510558747803	69.9503700099743	71.5660872566911	53.2948869292285	44.01642222352840	72.9140984538488	61.6481321596374
1999-10-01	79.4489075237099	63.9310304716825	77.7535931039282	63.8412208576463	72.5353452126252	74.4169849481517	54.3522577988680	65.2786431725148	82.8174686144993	4.41664	84.9764802036966	56.3435781203131	78.5716274278715	79.8807862431109	82.1487128811257	76.8022989782106	105.3608203695720	71.3876098835770	43.7294101316876	51.16567725403820	57.0318702947387	34.4035694897954	98.1654268621881	87.6889607574171	52.27441109892250	63.8620507402896	72.2585438332072	82.3506220217736	77.9517667771218	64.9887003146187	57.9602601059790	94.4086881105253	53.2845034341060	71.2391157527955	72.8243845987894	53.0536538736472	45.33137775374420	74.1119159549634	62.3262506164059
2000-01-01	80.3397947112808	64.1627781083487	78.3065075437784	64.5172637243196	73.6957190104180	74.9958495741764	54.5534569514496	66.1645383361100	84.0024847034794	4.43085	85.8050855797389	58.4835251753313	79.8285062036582	82.2631690990373	82.8950927730332	77.5598819878274	105.7608359573530	72.0120617648225	45.1057777051127	51.83424553690420	58.2906813494770	35.1258817238999	99.1680395342365	89.1866340644062	53.26503823475270	67.1673236556789	73.6501247152489	82.8634276704038	79.1040862909583	66.6867549962334	57.7626266439844	96.5097238060192	55.2563123553715	71.7385413745285	73.5927041576494	53.6161630108198	46.04527958137080	74.3820148769470	63.0547447465618
2000-04-01	80.8358871778184	64.7551214885535	78.8699811135562	65.4217205968912	74.5716550576346	75.3177932314263	54.5435466822357	66.8546440961149	84.6925084274811	4.43903	86.7819055541111	59.9480986028289	80.8281442849321	82.8970835205904	83.7165522990378	78.0616826115841	106.7359446019340	72.7300310364628	44.8464538908029	53.53197855137160	60.1185663954152	35.1732688620606	99.9746821694028	89.6020731439654	53.97480031005650	66.2881615016444	74.7633568053190	83.7888488249412	77.9616538904172	65.9529401338237	58.4584190211381	95.9996816599321	56.3175620639478	73.5191247807414	74.6261683891309	54.1476027323587	47.83799284743890	75.7362012010693	63.6348425886474
2000-07-01	81.2286701919299	64.8806141759761	79.2357109774155	66.2048355442743	75.3300352086624	75.8977887576848	55.3634489727707	67.7639751821364	84.6725109389643	4.43879	87.0216303398639	60.6877618161117	81.7004612143765	84.1951888733827	84.2343809518552	78.3601592130480	108.7302093086530	73.3727014823284	45.9390959540186	54.75299607620440	61.9094325292983	35.6402620160324	100.5880611356440	89.6252666650932	55.46158539424480	67.4432032620314	75.3438879229274	84.4802437073193	78.7183711687068	66.1798200912837	58.6847902851127	97.4059469406123	57.3852482503874	74.1174525413086	75.4946529828889	54.4797467100788	48.55045193065040	75.8117663355946	64.2650784318035
2000-10-01	82.5217281996824	64.6374581131805	80.0103671457472	67.0188635632552	75.4590058030311	76.7158532698813	56.0553506412199	68.0385473360231	84.4124986470980	4.43572	87.8725279870556	62.0531889307603	82.5423398509637	85.0902381909785	84.9238990620566	78.5841602545571	110.2730100812310	74.7194228111697	47.2601266068383	54.75833498891320	61.8532973134823	35.6551919772480	102.0405591525350	90.4945033399228	55.28163585924520	67.8394763680659	74.8568845351080	85.5782583390338	78.7492095458902	66.6583950015510	60.4054828350486	98.0579838993734	57.7563172713542	73.8911934198605	76.0084887212730	54.7910405888790	49.24794394138300	76.2623624805910	64.8119451282513
2001-01-01	82.1818801487528	65.2942255468215	80.0554834281655	67.2520940973882	75.8586751899856	76.7478863516476	56.6864562533680	68.8229156622442	86.1099984597414	4.45563	86.9184767914875	62.9484929159452	83.4187399660353	85.5065401991627	85.3850499518791	79.2561633790844	111.6380555254390	75.2567732560392	46.9233528646833	56.05611382235380	61.1132249826253	35.8479658193157	102.7193983937340	91.1660561331531	55.95914260162300	68.9461124945602	74.8806674683871	85.6711284506846	79.6705943420406	66.0965126069039	59.5910304300898	97.7513726104138	58.1007497990252	74.1790184760319	76.9674185548172	55.1796257285731	46.72392298494300	76.0151038838746	65.2102222002539
2001-04-01	82.0186982081860	65.8346717728694	80.0698822417033	66.9232127513414	76.0631067528657	77.1681895860424	57.1339906244682	69.0136027801403	86.0599948249609	4.45504	87.3427964991190	63.0267136442063	84.0353009957405	85.6087234193533	85.5471704362900	79.6206915697112	111.3438067852120	75.8824145476554	47.4033293703266	56.88353423756420	60.7992787637838	36.5940954858368	102.3138781521860	90.4817543371234	56.68598528703270	68.0872597250756	74.4826373707980	86.1043408192369	79.5291144589321	68.1614747197235	59.3210194590897	98.6970644961453	59.1394111135907	74.1728101464799	77.1754560881724	55.7576713060963	44.46059806559940	76.4874535410777	65.5360805602956
2001-07-01	82.1407013705743	66.6312483502521	79.9172548182030	66.5868718337714	76.0124378889988	77.0443404653127	56.7741260887146	69.3563207158420	85.9200018309552	4.45342	88.1269830746553	64.3282919345782	84.8185302387736	86.1499160299927	85.7784819560453	79.9934522772482	113.1493761011420	76.5621968844138	47.4131602355673	56.82838216608270	60.1140843987906	37.0467128468317	102.0225328088220	89.5000811215703	57.45135584580260	69.0667867350980	74.5024551421584	86.2539796640039	80.5080563789095	68.0214472459786	59.7854658677528	98.8414991574289	60.6385639623305	74.4557202750894	77.6344907058733	55.9811469835032	45.01714950648540	76.1812367734240	65.7102413463685
2001-10-01	82.5731606213949	67.4298381793047	79.8375813832940	66.3898593072267	76.4752238423604	76.9462957172009	57.3044971636808	69.7743622250982	85.8200011703864	4.45225	87.9531820870414	65.2720527370540	85.4053953730083	85.9077039525037	85.7981719581247	80.1739932876269	113.4491072602750	77.1321188748189	48.0846734664647	57.44281850784290	59.8095606956167	37.8972621581614	101.8412786477050	89.1912616179005	58.46398512346410	70.8739451762608	74.1638436612429	86.5321619459484	81.2078050520206	69.0370895555457	59.9622455460849	100.2243309504310	60.3296130248932	75.1051805276606	78.3930590062326	57.1779418210640	44.25955757610640	76.3924982814768	66.2157652973118
