"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Period","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1968-Q2","Q2-1968","USD","US Dollar","6","Millions","2015","2015",244464,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1968-Q3","Q3-1968","USD","US Dollar","6","Millions","2015","2015",247712,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1968-Q4","Q4-1968","USD","US Dollar","6","Millions","2015","2015",256961.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1969-Q1","Q1-1969","USD","US Dollar","6","Millions","2015","2015",255169.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1969-Q2","Q2-1969","USD","US Dollar","6","Millions","2015","2015",260204.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1969-Q3","Q3-1969","USD","US Dollar","6","Millions","2015","2015",264534.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1969-Q4","Q4-1969","USD","US Dollar","6","Millions","2015","2015",270646.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1970-Q1","Q1-1970","USD","US Dollar","6","Millions","2015","2015",276266,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1970-Q2","Q2-1970","USD","US Dollar","6","Millions","2015","2015",281800.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1970-Q3","Q3-1970","USD","US Dollar","6","Millions","2015","2015",281220,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1970-Q4","Q4-1970","USD","US Dollar","6","Millions","2015","2015",282576,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1971-Q1","Q1-1971","USD","US Dollar","6","Millions","2015","2015",285988,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1971-Q2","Q2-1971","USD","US Dollar","6","Millions","2015","2015",287202,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1971-Q3","Q3-1971","USD","US Dollar","6","Millions","2015","2015",296231.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1971-Q4","Q4-1971","USD","US Dollar","6","Millions","2015","2015",295293.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1972-Q1","Q1-1972","USD","US Dollar","6","Millions","2015","2015",291703.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1972-Q2","Q2-1972","USD","US Dollar","6","Millions","2015","2015",298218.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1972-Q3","Q3-1972","USD","US Dollar","6","Millions","2015","2015",296720.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1972-Q4","Q4-1972","USD","US Dollar","6","Millions","2015","2015",299880.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1973-Q1","Q1-1973","USD","US Dollar","6","Millions","2015","2015",307612.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1973-Q2","Q2-1973","USD","US Dollar","6","Millions","2015","2015",308183.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1973-Q3","Q3-1973","USD","US Dollar","6","Millions","2015","2015",311303.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1973-Q4","Q4-1973","USD","US Dollar","6","Millions","2015","2015",319092.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1974-Q1","Q1-1974","USD","US Dollar","6","Millions","2015","2015",319136.2,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1974-Q2","Q2-1974","USD","US Dollar","6","Millions","2015","2015",312650,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1974-Q3","Q3-1974","USD","US Dollar","6","Millions","2015","2015",316390,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1974-Q4","Q4-1974","USD","US Dollar","6","Millions","2015","2015",316725.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1975-Q1","Q1-1975","USD","US Dollar","6","Millions","2015","2015",317958.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1975-Q2","Q2-1975","USD","US Dollar","6","Millions","2015","2015",327977,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1975-Q3","Q3-1975","USD","US Dollar","6","Millions","2015","2015",324396.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1975-Q4","Q4-1975","USD","US Dollar","6","Millions","2015","2015",319522.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1976-Q1","Q1-1976","USD","US Dollar","6","Millions","2015","2015",333616.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1976-Q2","Q2-1976","USD","US Dollar","6","Millions","2015","2015",334632.1,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1976-Q3","Q3-1976","USD","US Dollar","6","Millions","2015","2015",337351.4,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1976-Q4","Q4-1976","USD","US Dollar","6","Millions","2015","2015",340317.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1977-Q1","Q1-1977","USD","US Dollar","6","Millions","2015","2015",338445.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1977-Q2","Q2-1977","USD","US Dollar","6","Millions","2015","2015",343220.8,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1977-Q3","Q3-1977","USD","US Dollar","6","Millions","2015","2015",341764.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1977-Q4","Q4-1977","USD","US Dollar","6","Millions","2015","2015",340712,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1978-Q1","Q1-1978","USD","US Dollar","6","Millions","2015","2015",343098.5,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1978-Q2","Q2-1978","USD","US Dollar","6","Millions","2015","2015",345901,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1978-Q3","Q3-1978","USD","US Dollar","6","Millions","2015","2015",351168.3,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1978-Q4","Q4-1978","USD","US Dollar","6","Millions","2015","2015",354117.7,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1979-Q1","Q1-1979","USD","US Dollar","6","Millions","2015","2015",363795.6,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1979-Q2","Q2-1979","USD","US Dollar","6","Millions","2015","2015",357940.9,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1979-Q3","Q3-1979","USD","US Dollar","6","Millions","2015","2015",361277,,
"AUS","Australia","B1_GE","Gross domestic product - expenditure approach","VPVOBARSA","US dollars, volume estimates, fixed PPPs, OECD reference year, annual levels, seasonally adjusted","Q","Quarterly","1979-Q4","Q4-1979","USD","US Dollar","6","Millions","2015","2015",368291.9,,
