"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1980-Q2","Q2-1980","PER","Persons","3","Thousands",,,2279.067,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1980-Q3","Q3-1980","PER","Persons","3","Thousands",,,2309.476,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1980-Q4","Q4-1980","PER","Persons","3","Thousands",,,2299.596,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1981-Q1","Q1-1981","PER","Persons","3","Thousands",,,2310.092,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1981-Q2","Q2-1981","PER","Persons","3","Thousands",,,2336.506,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1981-Q3","Q3-1981","PER","Persons","3","Thousands",,,2354.897,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1981-Q4","Q4-1981","PER","Persons","3","Thousands",,,2362.478,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1982-Q1","Q1-1982","PER","Persons","3","Thousands",,,2365.258,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1982-Q2","Q2-1982","PER","Persons","3","Thousands",,,2360.587,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1982-Q3","Q3-1982","PER","Persons","3","Thousands",,,2357.384,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1982-Q4","Q4-1982","PER","Persons","3","Thousands",,,2343.357,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1983-Q1","Q1-1983","PER","Persons","3","Thousands",,,2335.415,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1983-Q2","Q2-1983","PER","Persons","3","Thousands",,,2332.888,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1983-Q3","Q3-1983","PER","Persons","3","Thousands",,,2357.217,,
"AUS","Australia","LFEMTTFE","Employed population, Aged 15 and over, Females","STSA","Level, rate or quantity series, s.a.","Q","Quarterly","1983-Q4","Q4-1983","PER","Persons","3","Thousands",,,2381.354,,
