DATE;LFEMTTTTATQ647S;LFEMTTTTAUQ647S;LFEMTTTTBEQ647S;LFEMTTTTCAQ647S;LFEMTTTTCHQ647S;LFEMTTTTDEQ647S;LFEMTTTTDKQ647S;LFEMTTTTESQ647S;LFEMTTTTFIQ647S;LFEMTTTTFRQ647S;LFEMTTTTGBQ647S;LFEMTTTTGRQ647S;LFEMTTTTIEQ647S;LFEMTTTTISQ647S;LFEMTTTTITQ647S;LFEMTTTTJPQ647S;LFEMTTTTLUQ647S;LFEMTTTTNLQ647S;LFEMTTTTNOQ647S;LFEMTTTTNZQ647S;LFEMTTTTPTQ647S;LFEMTTTTSEQ647S;LFEMTTTTTRQ647S;LFEMTTTTUSQ647S
1974-01-01;3006660,7570000000;5900000,0000000000;;9019333,3333333400;;34005066,944251100;;;;;24984000,000000000;;;;;52503333,3333333;;;;;;;;86709333,3333333
1974-04-01;3041939,8820000000;5910600,0000000000;;9082000,0000000000;;33827024,284384300;;;;;25002000,000000000;;;;;52573333,3333333;;;;;;;;86833666,6666667
1974-07-01;3004216,0100000000;5878900,0000000000;;9169333,3333333400;;33600317,945252700;;;;;25066000,000000000;;;;;52206666,6666667;;;;;;;;87079000,0000000
1974-10-01;2986604,8670000000;5874900,0000000000;;9227666,6666666600;;33319915,756135900;;;;;25066000,000000000;;;;;52180000,0000000;;;;;;;;86588333,3333333
1975-01-01;2977826,4460000000;5827900,0000000000;;9158333,3333333400;;33036756,723931000;;;;;24996000,000000000;;;;;51953333,3333333;;;;;;;;85356666,6666667
1975-04-01;2935254,0860000000;5840900,0000000000;;9252666,6666666600;;32791569,642679000;;;;;24956000,000000000;;;;;52206666,6666667;;;;;;;;85331666,6666667
1975-07-01;2922863,3120000000;5865800,0000000000;;9296000,0000000000;;32600494,011946400;;;;;24917000,000000000;;;;;52383333,3333333;;;;;;;;86135666,6666667
1975-10-01;2934380,2030000000;5930500,0000000000;;9417000,0000000000;;32426565,436623600;;;;;24863000,000000000;;;;;52376666,6666667;;;;;;;;86497000,0000000
1976-01-01;2926203,0800000000;5951200,0000000000;;9664966,6666666600;;32396878,860807600;;;;;24809000,000000000;;;;;52650000,0000000;;;;;;;;87685666,6666667
1976-04-01;2954208,1710000000;5968500,0000000000;;9736966,6666666600;;32405786,466650000;;;;;24779000,000000000;;;;;52436666,6666667;;;;;;;;88591000,0000000
1976-07-01;2942508,6290000000;5922100,0000000000;;9774433,3333333400;;32418068,707918200;;;;;24768000,000000000;;;;;52823333,3333333;;;;;;;;89163000,0000000
1976-10-01;2965727,3910000000;5942500,0000000000;;9820566,6666666600;;32465052,523556100;;;;;24788000,000000000;;;;;52920000,0000000;;;;;;;;89570333,3333333
1977-01-01;2976041,6800000000;5989200,0000000000;;9863633,3333333300;;32383967,191070000;;;;;24803000,000000000;;;;;53120000,0000000;;;;;;;;90359333,3333333
1977-04-01;2991273,9540000000;6008200,0000000000;;9902200,0000000000;;32329294,523372200;;;;;24801000,000000000;;;;;53340000,0000000;;;;;;;;91661333,3333333
