DATE	RKNANPATA666NRUG	RKNANPAUA666NRUG	RKNANPBEA666NRUG	RKNANPCAA666NRUG	RKNANPCHA666NRUG	RKNANPDEA666NRUG	RKNANPDKA666NRUG	RKNANPESA666NRUG	RKNANPFIA666NRUG	RKNANPFRA666NRUG	RKNANPGBA666NRUG	RKNANPGRA666NRUG	RKNANPIEA666NRUG	RKNANPISA666NRUG	RKNANPITA666NRUG	RKNANPJPA666NRUG	RKNANPLUA666NRUG	RKNANPNLA666NRUG	RKNANPNOA666NRUG	RKNANPNZA666NRUG	RKNANPPTA666NRUG	RKNANPSEA666NRUG	RKNANPTRA666NRUG	RKNANPUSA666NRUG
1966-01-01	628173.25000	1244982.8750	1149123.7500	1599379.8750	1136324.2500	6393867.000	451524.187500	1917758.8750	275284.9375000	4947385.50	4596009.50	604999.87500	163305.5625000	20578.3476562500	4494215.000	3195099.7500	88783.25000000	1342972.0000	394057.406250	148724.7031250	511829.468750	1086449.2500	423983.343750	18530992
1967-01-01	659229.37500	1293922.3750	1195806.0000	1674526.6250	1176166.3750	6678766.000	475459.625000	2064105.0000	287941.2500000	5216563.00	4825987.00	638797.00000	170369.6718750	22184.7128906250	4724975.500	3578192.2500	89977.86718750	1428949.8750	411141.937500	154355.5312500	544734.125000	1132998.1250	455855.437500	19263546
1968-01-01	691860.18750	1352203.1250	1240756.2500	1750937.6250	1214639.5000	7012120.500	501044.250000	2220399.7500	300275.1875000	5494701.00	5080543.00	677616.75000	179742.8125000	23345.6542968750	4968680.500	4051512.2500	91031.28906250	1526155.7500	424082.562500	157708.0000000	578522.937500	1177827.5000	491594.500000	20015188
1969-01-01	727194.68750	1414031.3750	1293272.6250	1837414.7500	1256107.3750	7408280.500	532326.750000	2410424.2500	315066.5000000	5810064.50	5317999.50	729516.87500	192517.7500000	24191.4628906250	5253593.500	4607640.5000	92829.66406250	1615734.6250	434178.406250	163576.7187500	611040.437500	1227828.1250	527092.000000	20760190
1970-01-01	770421.50000	1473595.6250	1351375.1250	1909363.8750	1311230.5000	7845500.500	562714.187500	2587868.7500	335560.6250000	6132885.00	5543913.00	785195.18750	204095.4687500	25012.7890625000	5698253.000	5270958.0000	95554.42968750	1715088.8750	451608.687500	169367.0000000	661151.687500	1289896.2500	573060.000000	21404618
1971-01-01	821695.18750	1533065.1250	1403561.7500	1988901.2500	1373316.1250	8300380.000	592144.937500	2747532.7500	356153.8437500	6471339.50	5765316.50	847956.93750	216885.8593750	26500.5058593750	6128876.500	5929284.0000	98725.62500000	1815491.8750	474055.250000	176570.9062500	715512.125000	1347516.8750	610372.375000	22058786
1972-01-01	880089.75000	1592975.7500	1456096.3750	2071290.0000	1436926.1250	8749618.000	625446.875000	2938392.5000	377958.0625000	6820245.00	5971557.50	929743.56250	230692.4218750	27917.4121093750	6556769.000	6636369.0000	102080.28125000	1903548.3750	494026.843750	185503.5156250	777633.750000	1406686.8750	657656.937500	22805318
1973-01-01	935396.87500	1655112.1250	1512496.0000	2163195.0000	1500253.0000	9179683.000	660498.625000	3158602.5000	401875.1875000	7187110.50	6200223.00	1015093.43750	247756.8906250	29799.2714843750	7006262.000	7417648.0000	106071.77343750	1992344.2500	518001.500000	195144.2812500	845206.562500	1465315.1250	707462.812500	23631742
1974-01-01	991545.43750	1705167.1250	1572150.5000	2259268.5000	1554621.2500	9520939.000	689992.875000	3386240.7500	425868.2812500	7546949.50	6403790.50	1059666.75000	259987.6718750	31797.4140625000	7451115.500	8060056.5000	109292.71875000	2067461.6250	543755.750000	205698.1875000	902485.812500	1515607.3750	793630.812500	24335552
1975-01-01	1039952.25000	1757197.5000	1624869.5000	2357586.0000	1589552.6250	9813579.000	712969.062500	3583551.5000	450728.2187500	7856807.00	6586670.50	1111280.62500	270572.4062500	33433.7695312500	7829096.500	8662330.0000	111845.73437500	2135863.0000	573053.187500	214911.5625000	946714.437500	1565969.2500	876868.437500	24870554
1976-01-01	1089442.75000	1811559.8750	1678168.6250	2462962.2500	1612048.1250	10116110.000	743118.625000	3767092.7500	471145.1250000	8160464.50	6770677.50	1167083.00000	284111.2500000	34947.0781250000	8193644.500	9265911.0000	114091.78125000	2201672.5000	606114.625000	222614.7968750	989279.437500	1614890.5000	980954.812500	25504852
1977-01-01	1144724.12500	1867683.6250	1727801.6250	2568060.0000	1635808.5000	10434063.000	771485.375000	3938690.7500	489238.8750000	8441035.00	6935296.00	1232397.12500	297858.4687500	36728.9531250000	8559915.000	9870660.0000	116258.21875000	2274867.0000	639145.937500	227940.9218750	1039171.500000	1656193.3750	1042452.562500	26279794
1978-01-01	1190328.50000	1932241.1250	1776813.6250	2671612.0000	1664756.5000	10767020.000	799444.750000	4093666.7500	503709.7187500	8720247.00	7101870.00	1308627.25000	316375.9375000	38287.1289062500	8915287.000	10524471.0000	118310.17187500	2347110.7500	663233.000000	232824.7187500	1092006.000000	1686562.0000	1082106.625000	27203122
1979-01-01	1239555.37500	1995033.1250	1817838.5000	2782322.5000	1697238.8750	11123019.000	826228.687500	4228506.0000	519255.0000000	9000279.00	7269585.50	1388374.62500	338308.7500000	39747.5625000000	9294969.000	11204698.0000	120412.85937500	2410836.2500	687046.687500	236310.2187500	1141164.750000	1720599.8750	1124567.375000	28174168
1980-01-01	1289571.62500	2069984.0000	1871394.5000	2898366.7500	1737475.3750	11472935.000	846211.375000	4360663.0000	538292.7500000	9281640.00	7399249.50	1448512.62500	356629.0937500	41534.0781250000	9698096.000	11838825.0000	123137.74218750	2471544.0000	710630.125000	240410.3437500	1196376.500000	1756649.8750	1147900.125000	28983300
1981-01-01	1336712.50000	2149184.5000	1896866.0000	3029280.7500	1775634.5000	11764739.000	856371.000000	4483184.5000	557515.4375000	9541137.00	7477008.00	1497820.00000	377398.1562500	43275.9023437500	10062879.000	12456723.0000	125122.77343750	2514296.5000	735308.562500	246857.2187500	1253616.125000	1786656.5000	1199806.125000	29770400
