date,exusal,exalus,exbzus,excaus,exchus,exdnus,exhkus,exinus,exjpus,exkous,exmaus,exmxus,exusnz,exnzus,exnous,exsius,exsfus,exslus,exsdus,exszus,extaus,exthus,exusuk,exukus,exvzus,exauus,exbeus,exfnus,exfrus,exgeus,exgrus,exusir,exirus,exitus,exneus,expous,exspus,exusec,execus,exuseu,exeuus,twexb,twexm,twexo,indexgx
14APR2017,0.7575,1.3201,3.1445,1.3316,6.8835,7.0021,7.7726,64.42,108.63,1136.67,4.4050,18.529,0.7009,1.4267,8.5741,1.3969,13.4150,151.830,9.0289,1.0038,30.310,34.340,1.2531,0.7980,9.975,,,,,,,,,,,,,,,1.0625,0.9412,123.853,93.907,155.537,
17APR2017,0.7604,1.3151,3.1036,1.3277,6.8800,6.9780,7.7722,64.53,108.46,1134.25,4.4030,18.548,0.7028,1.4229,8.5355,1.3954,13.2950,151.800,8.9864,1.0022,30.320,34.250,1.2587,0.7945,9.975,,,,,,,,,,,,,,,1.0660,0.9381,123.642,93.628,155.423,
18APR2017,0.7553,1.3240,3.0997,1.3381,6.8778,6.9471,7.7743,64.56,108.40,1143.89,4.4090,18.478,0.7034,1.4217,8.5192,1.3967,13.2850,151.800,8.9737,0.9978,30.390,34.340,1.2769,0.7831,9.975,,,,,,,,,,,,,,,1.0706,0.9341,123.597,93.542,155.430,
19APR2017,0.7500,1.3333,3.1399,1.3467,6.8860,6.9475,7.7741,64.62,109.06,1142.37,4.3985,18.868,0.7002,1.4282,8.5757,1.3987,13.3025,152.000,8.9820,0.9986,30.400,34.390,1.2789,0.7819,9.975,,,,,,,,,,,,,,,1.0707,0.9340,124.160,93.800,156.350,
20APR2017,0.7540,1.3263,3.1466,1.3479,6.8800,6.9136,7.7746,64.61,109.34,1136.29,4.3960,18.848,0.7017,1.4251,8.5861,1.3965,13.1875,151.950,8.9546,0.9960,30.370,34.370,1.2830,0.7794,9.975,,,,,,,,,,,,,,,1.0758,0.9295,123.978,93.627,156.168,
21APR2017,0.7539,1.3264,3.1475,1.3502,6.8845,6.9533,7.7757,64.65,109.08,1134.22,4.3980,18.843,0.7020,1.4245,8.6779,1.3968,13.1575,152.000,9.0155,0.9987,30.340,34.370,1.2783,0.7823,9.975,,,,,,,,,,,,,,,1.0694,0.9351,124.170,93.912,156.231,
24APR2017,0.7558,1.3231,3.1254,1.3517,6.8840,6.8489,7.7795,64.48,109.74,1132.19,4.3980,18.690,0.7019,1.4247,8.5628,1.3933,12.9850,152.000,8.8732,0.9964,30.230,34.370,1.2783,0.7823,9.975,,,,,,,,,,,,,,,1.0846,0.9220,123.708,93.459,155.782,
25APR2017,0.7538,1.3266,3.1669,1.3614,6.8824,6.8004,7.7796,64.32,110.88,1126.54,4.3690,18.931,0.6949,1.4391,8.5518,1.3927,13.0875,151.750,8.7675,0.9925,30.060,34.400,1.2836,0.7791,9.975,,,,,,,,,,,,,,,1.0941,0.9140,123.859,93.402,156.189,
26APR2017,0.7462,1.3401,3.1961,1.3591,6.8918,6.8430,7.7806,64.08,111.52,1133.17,4.3460,19.149,0.6880,1.4535,8.5902,1.3977,13.2825,151.900,8.7855,0.9957,30.100,34.480,1.2838,0.7789,9.975,,,,,,,,,,,,,,,1.0872,0.9198,124.337,93.717,156.849,
27APR2017,0.7452,1.3419,3.1867,1.3664,6.8958,6.8471,7.7801,64.14,111.13,1133.83,4.3450,19.119,0.6854,1.4590,8.5935,1.3975,13.3725,152.100,8.8499,0.9948,30.120,34.620,1.2889,0.7759,9.975,,,,,,,,,,,,,,,1.0864,0.9205,124.392,93.812,156.849,
28APR2017,0.7475,1.3378,3.1896,1.3669,6.8900,6.8271,7.7779,64.27,111.44,1136.99,4.3390,18.934,0.6860,1.4577,8.5726,1.3970,13.3350,152.100,8.8635,0.9944,30.190,34.580,1.2938,0.7729,9.975,,,,,,,,,,,,,,,1.0895,0.9179,124.180,93.718,156.500,
01MAY2017,0.7534,1.3273,3.1760,1.3653,6.8900,6.8157,7.7775,64.25,111.78,1134.87,4.3390,18.761,0.6914,1.4463,8.5838,1.3958,13.3750,151.950,8.8281,0.9955,30.160,34.580,1.2917,0.7742,9.975,,,,,,,,,,,,,,,1.0912,0.9164,123.976,93.665,156.115,
02MAY2017,0.7523,1.3293,3.1685,1.3742,6.8949,6.8158,7.7810,64.16,112.06,1129.16,4.3260,18.780,0.6923,1.4445,8.5941,1.3951,13.2850,151.950,8.8291,0.9913,30.020,34.470,1.2921,0.7739,9.975,,,,,,,,,,,,,,,1.0910,0.9166,124.058,93.857,156.053,
03MAY2017,0.7451,1.3421,3.1443,1.3705,6.8968,6.8106,7.7810,64.17,112.34,1131.25,4.3170,18.795,0.6912,1.4468,8.6191,1.3951,13.3525,151.860,8.8148,0.9913,30.050,34.510,1.2916,0.7742,9.975,,,,,,,,,,,,,,,1.0920,0.9158,124.052,93.813,156.097,
04MAY2017,0.7403,1.3508,3.1823,1.3745,6.8959,6.7810,7.7815,64.22,112.70,1134.20,4.3260,19.015,0.6854,1.4590,8.6774,1.4008,13.6150,152.250,8.8160,0.9890,30.120,34.630,1.2910,0.7746,9.975,,,,,,,,,,,,,,,1.0967,0.9118,124.322,93.781,156.733,
05MAY2017,0.7414,1.3488,3.1703,1.3699,6.9021,6.7622,7.7839,64.31,112.63,1136.49,4.3350,19.004,0.6915,1.4461,8.6022,1.4041,13.4775,152.250,8.7941,0.9876,30.180,34.670,1.2950,0.7722,9.975,,,,,,,,,,,,,,,1.0996,0.9094,124.203,93.550,156.766,
