PERMNO,DATE,COMNAM,TICKER,PRC,VOL,NUMTRD,RET,RETX
83596,20070813,ELECTRONIC DATA SYS CORP NEW,EDS,23.46000,7517300,,0.016429,0.014267
83596,20070814,ELECTRONIC DATA SYS CORP NEW,EDS,23.59000,4105400,,0.005541,0.005541
83596,20070815,ELECTRONIC DATA SYS CORP NEW,EDS,22.44000,3530400,,-0.048749,-0.048749
83596,20070816,ELECTRONIC DATA SYS CORP NEW,EDS,22.38000,4863100,,-0.002674,-0.002674
83596,20070817,ELECTRONIC DATA SYS CORP NEW,EDS,22.59000,4188100,,0.009383,0.009383
83596,20070820,ELECTRONIC DATA SYS CORP NEW,EDS,22.76000,2295500,,0.007525,0.007525
83596,20070821,ELECTRONIC DATA SYS CORP NEW,EDS,22.88000,2990100,,0.005272,0.005272
83596,20070822,ELECTRONIC DATA SYS CORP NEW,EDS,23.30000,2312900,,0.018357,0.018357
83596,20070823,ELECTRONIC DATA SYS CORP NEW,EDS,23.13000,2908100,,-0.007296,-0.007296
83596,20070824,ELECTRONIC DATA SYS CORP NEW,EDS,23.42000,2306500,,0.012538,0.012538
83596,20070827,ELECTRONIC DATA SYS CORP NEW,EDS,23.21000,2294934,,-0.008967,-0.008967
83596,20070828,ELECTRONIC DATA SYS CORP NEW,EDS,22.67000,2574500,,-0.023266,-0.023266
83596,20070829,ELECTRONIC DATA SYS CORP NEW,EDS,22.95000,2633000,,0.012351,0.012351
83596,20070830,ELECTRONIC DATA SYS CORP NEW,EDS,22.75000,1754400,,-0.008715,-0.008715
83596,20070831,ELECTRONIC DATA SYS CORP NEW,EDS,22.89000,1928500,,0.006154,0.006154
83596,20070904,ELECTRONIC DATA SYS CORP NEW,EDS,22.59000,2703100,,-0.013106,-0.013106
83596,20070905,ELECTRONIC DATA SYS CORP NEW,EDS,22.31000,3890725,,-0.012395,-0.012395
83596,20070906,ELECTRONIC DATA SYS CORP NEW,EDS,22.38000,2316000,,0.003138,0.003138
83596,20070907,ELECTRONIC DATA SYS CORP NEW,EDS,21.93000,2560800,,-0.020107,-0.020107
83596,20070910,ELECTRONIC DATA SYS CORP NEW,EDS,21.74000,2942500,,-0.008664,-0.008664
83596,20070911,ELECTRONIC DATA SYS CORP NEW,EDS,22.38000,4037200,,0.029439,0.029439
83596,20070912,ELECTRONIC DATA SYS CORP NEW,EDS,21.89000,3458500,,-0.021895,-0.021895
83596,20070913,ELECTRONIC DATA SYS CORP NEW,EDS,21.69000,3354500,,-0.009137,-0.009137
83596,20070914,ELECTRONIC DATA SYS CORP NEW,EDS,21.79000,2094400,,0.004610,0.004610
83596,20070917,ELECTRONIC DATA SYS CORP NEW,EDS,21.65000,1741800,,-0.006425,-0.006425
83596,20070918,ELECTRONIC DATA SYS CORP NEW,EDS,22.07000,2941800,,0.019400,0.019400
83596,20070919,ELECTRONIC DATA SYS CORP NEW,EDS,22.14000,1879800,,0.003172,0.003172
